id,name,Target_Disorder,Indication,Side_Effects,Substitutes,Chemical Class,Therapeutic Class,Action Class,Habit Forming
6886,a rex 10mg tablet,Anxiety,Treatment of Anxiety; Treatment of Skin conditions with inflammation & itching,"Constipation, Nausea, Sedation, Upset stomach, Vomiting","Evall 10mg Tablet, Hydil 10mg Tablet, Stoprax 10mg Tablet, Hynorax 10mg Tablet, Hydrobal 10 Tablet",Piperazine Derivative,RESPIRATORY,H1 Antihistaminics (First Generation),No
3195,a rex 25mg tablet,Anxiety,Treatment of Anxiety; Treatment of Skin conditions with inflammation & itching,"Constipation, Nausea, Sedation, Upset stomach, Vomiting","Hydrocas 25mg Tablet, Hyzox 25 Tablet, Hizet 25mg Tablet, Hydil 25mg Tablet, Zyzine 25mg Tablet",Piperazine Derivative,RESPIRATORY,H1 Antihistaminics (First Generation),No
15066,a rex 50mg injection,Anxiety,Treatment of Anxiety; Treatment of Skin conditions with inflammation & itching,"Constipation, Nausea, Sedation, Upset stomach, Vomiting",,Piperazine Derivative,RESPIRATORY,H1 Antihistaminics (First Generation),No
7308,a rex drop,Anxiety,Treatment of Anxiety; Treatment of Skin conditions with inflammation & itching,"Constipation, Nausea, Sedation, Upset stomach, Vomiting",,Piperazine Derivative,RESPIRATORY,H1 Antihistaminics (First Generation),No
13795,a rex drop,Anxiety,Treatment of Anxiety; Treatment of Skin conditions with inflammation & itching,"Constipation, Nausea, Sedation, Upset stomach, Vomiting","Azon 6mg Drop, Pru 6mg Drop, Hydrox 6mg Drop, Ktrax Drop, Hynan Drop",Piperazine Derivative,RESPIRATORY,H1 Antihistaminics (First Generation),No
7474,aaram 0.5mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alprasafe 0.5mg Tablet, Alparazole 0.5mg Tablet, Alprazol 0.5mg Tablet, Texidep 0.5mg Tablet, Zolipax 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
2345,aaram tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alltop 0.25mg Tablet, Alprasafe 0.25mg Tablet, Nindra 0.25mg Tablet, Alora 0.25mg Tablet, Exal 0.25mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
20625,abidrox 10 tablet,Anxiety,Treatment of Anxiety; Treatment of Skin conditions with inflammation & itching,"Constipation, Nausea, Sedation, Upset stomach, Vomiting","Evall 10mg Tablet, Hydil 10mg Tablet, Stoprax 10mg Tablet, Hynorax 10mg Tablet, Hydrobal 10 Tablet",Piperazine Derivative,RESPIRATORY,H1 Antihistaminics (First Generation),No
8183,abidrox 25 tablet,Anxiety,Treatment of Anxiety; Treatment of Skin conditions with inflammation & itching,"Constipation, Nausea, Sedation, Upset stomach, Vomiting","Hydrocas 25mg Tablet, Hyzox 25 Tablet, Hizet 25mg Tablet, Hydil 25mg Tablet, Zyzine 25mg Tablet",Piperazine Derivative,RESPIRATORY,H1 Antihistaminics (First Generation),No
26333,abizolam 0.5mg tablet,Anxiety,Treatment of Anxiety; Treatment of Panic disorder,"Drowsiness, Lightheadedness","Alprasafe 0.5mg Tablet, Alparazole 0.5mg Tablet, Alprazol 0.5mg Tablet, Texidep 0.5mg Tablet, Zolipax 0.5mg Tablet",Benzodiazepines Derivative,NEURO CNS,Benzodiazepines,Yes
